Setor;Empresa;Descrição dos Serviços;Endereço;Telefone/Whatssap;Cidade;Estado;Latitude/Longitude
Mecânico;OFICINA O CARLINHO E JADERSON CAMINHOES;;VILA SÃO RAFAEL RUA A - Várzea da Matriz, Aracati - CE, 62800-000;(88) 99288-3505;Aracati;Ce;-4.556260796835767, -37.75578076240889
Mecânico;VB. Diesel Peças&Serviços;;Av - R. Pres. Geisel, 1816 - Canindezinho, Canindé - CE, 62700-000;(85) 98542-5307;Canindé;Ce;-4.352622446406684, -39.3266264288353
Mecânico;Oficina Só Diesel;;R. Moura Fé, 462 - São Vicente, Crateús - CE, 63700-000;(88) 3691-2140;Crateús;Ce;-5.181518540129727, -40.66450812883529
Mecânico;Deassis Soluções;;R. Santa Helena, 647 - quadra 47 lote 02 - Jabuti, Eusébio - CE, 61760-000;(85) 98725-7903;Eusébio;Ce;-3.9351716398247034, -38.50355821534118
Guincho;MAC Reboque;;ROD. SANTOS DUMONT, 4817 KM40 - Centro, Horizonte - CE, 62880-000;(85) 3336-2000;Horizonte;Ce;-4.100600675356213, -38.50092545767059
Borracharia;Borracharia do Biscoito;;Próximo a Nacional Gás - Av. Ailton Gomes - Juazeiro do Norte, CE, 63051-015;(88) 99655-1046;Juazeiro do Norte;Ce;-7.232709156878971, -39.312468913494115
Elétrica;Auto Elétrica Juazeiro;;Av. Manoel Castro Gomes de Andrade, 1561 - Morada Nova, CE, 62940-000;(88) 99910-4996;Morada Nova;Ce;-5.107919230551275, -38.3631534711647
Lava-Jato;LS Lavajato Caminhões;;Rodovia Br 222 Km 225, Sobral - CE, 62.014-080;88981431773;Sobral;Ce;-3.7064713465670556, -40.36118321534118
Tacógrafo;CATATAU PNEUS: AFERIÇÃO E MANUTENÇÃO DE TACÓGRAFOS.;;BR-222, KM 315 - Gov. Ferraz, Tianguá - CE, 62320-000;(88) 99225-8354;Tianguá;Ce;-3.7448037459114634, -41.009534986505045
Mecânico;Shalom Caminhões;Bateria, diagnóstico de motor, elétrica, freios e reparo de suspensão para caminhões;Rua Dois Antônios, 150, 2765 - Bairro Santo Antônio, Teresina - PI;(86) 98875-7941;Teresina;PI;-5.0920108, -42.8037597
Mecânico;Oficina do Dino Automecânica Diesel;Diagnóstico de motor, freios, reparo de suspensão e direção, troca de filtro, cabos e velas para caminhões e tratores;Tv. Antônio Baena, 548 - Pedreira, Belém - PA, 66085-051;(91) 98390-2140;Belém;PA;-1.4227, -48.4695
Mecânico;Oficina Mecanica GPE;;Av. Três, 6 - quadra 231 - Jardim São Cristovão, São Luís - MA, 65055-315;(98) 3244-7867;São Luís;MA;-2.5758872, -44.2227959
Mecânico;CARDAN Service;Especialistas em transmissão a cardan e barra de direção para caminhões no Ceará;Rod Quarto Anel Viário, 2700 E, Fortaleza;85 98910-0514;Fortaleza;Ce;-3.8679887, -38.5101615
Mecânico;BR Super Truck;Diagnóstico de motor veicular, elétrica, freios, martelinho de ouro, reparo de suspensão;R. Bambuzinho, 854 - Distrito Industrial II, Manaus - AM, 69007-430;(92) 99204-1203;Manaus;AM;-3.098, -59.970
Mecânico;ZS Service Car Truck;Oficina de caminhões (diagnóstico, elétrica, reparo geral);BA-526, 101 - Barragem de Ipitanga - Ceasa, Salvador - BA, 41402-450;(71) 99970-0136;Salvador;BA;-12.850, -38.370
Mecânico;Revise Trucks Center;Freios, reparo de suspensão e direção, serviço de freios de caminhão;R. Santo Inácio, S/N - Qd 17, Lt 01 - Ipiranga, Goiânia - GO, 74453-280;(62) 99607-9198;Goiânia;GO;-16.720, -49.250
Mecânico;Oficina Mecânica De Caminhões;Oficina de caminhões;R. Tuneiras do Oeste, 120 - Jardim Pirituba, São Paulo - SP, 02985-010;(11) 96505-7359;São Paulo;SP;-23.485, -46.735
Mecânico;Oficina 2 Irmãos - Diesel | Truck e Service;Elétrica, freios, transmissão, troca de óleo, bomba injetora diesel, caixa de câmbio;Rua General Lima e Silva, 151 - Aerolândia, Fortaleza - CE, 60850-530;(85) 99420-1485;Fortaleza;CE;-3.821, -38.505
Mecânico;Guiauto Serviços e Peças;Ar-condicionado, bateria, diagnóstico de motor veicular, elétrica, freios, reparo de suspensão e direção;R. Souza Águiar, 26 - Sinhá Sabóia, Sobral - CE, 62050-999;(88) 99647-1212;Sobral;CE;-3.703, -40.348
Auto Peças;Guiauto Serviços e Peças;Ar-condicionado, bateria, diagnóstico de motor veicular, elétrica, freios, reparo de suspensão e direção;R. Souza Águiar, 26 - Sinhá Sabóia, Sobral - CE, 62050-999;(88) 99647-1212;Sobral;CE;-3.703, -40.348
Elétrica;Guiauto Serviços e Peças;Ar-condicionado, bateria, diagnóstico de motor veicular, elétrica, freios, reparo de suspensão e direção;R. Souza Águiar, 26 - Sinhá Sabóia, Sobral - CE, 62050-999;(88) 99647-1212;Sobral;CE;-3.703, -40.348
Guincho;Guiauto Serviços e Peças;Ar-condicionado, bateria, diagnóstico de motor veicular, elétrica, freios, reparo de suspensão e direção, reboque;R. Souza Águiar, 26 - Sinhá Sabóia, Sobral - CE, 62050-999;(88) 99647-1212;Sobral;CE;-3.703, -40.348
Tacógrafo;Sobral Tacógrafos;Aferição, calibração e selagem de tacógrafo, inspeção veicular;Av. Sen. Fernandes Távora, 271 - Gerardo Cristino, Sobral - CE, 62050-382;(88) 99713-9620;Sobral;CE;-3.706, -40.351
Posto de Combustível;Posto Shell;Combustível, aberto 24 horas, apoio para caminhoneiros;BR 222 Faz Ipueiras Km 244, Sn Zona Rural, BR-222 - Gerardo Cristino, Sobral - CE, 62100-000;;Sobral;CE;-3.712, -40.360
Auto Peças;Auto Peças Viana;Loja de autopeças;BR-222, 1315 - Distrito Industrial, Sobral - CE, 62053-105;(88) 99383-5927;Sobral;CE;-3.699, -40.345
Posto de Combustível;Loja de Conveniência São Domingos 1;Loja de conveniência dentro do Posto São Domingos;Posto São Domingos - CE-362 - Coração de Jesus, Sobral - CE, 62010-302;(88) 99807-2819;Sobral;CE;-3.670, -40.320
Elétrica;Shalom Caminhões;Bateria, diagnóstico de motor, elétrica, freios e reparo de suspensão para caminhões;Rua Dois Antônios, 150, 2765 - Bairro Santo Antônio, Teresina - PI;(86) 98875-7941;Teresina;PI;-5.0920108, -42.8037597
Elétrica;BR Super Truck;Diagnóstico de motor veicular, elétrica, freios, martelinho de ouro, reparo de suspensão;R. Bambuzinho, 854 - Distrito Industrial II, Manaus - AM, 69007-430;(92) 99204-1203;Manaus;AM;-3.098, -59.970
Elétrica;ZS Service Car Truck;Oficina de caminhões (diagnóstico, elétrica, reparo geral);BA-526, 101 - Barragem de Ipitanga - Ceasa, Salvador - BA, 41402-450;(71) 99970-0136;Salvador;BA;-12.850, -38.370
Elétrica;Oficina 2 Irmãos - Diesel | Truck e Service;Elétrica, freios, transmissão, troca de óleo, bomba injetora diesel, caixa de câmbio;Rua General Lima e Silva, 151 - Aerolândia, Fortaleza - CE, 60850-530;(85) 99420-1485;Fortaleza;CE;-3.821, -38.505
Ponto de Apoio;Auto Posto Gatão;Posto 24h com amplo estacionamento pra caminhão, restaurante, banho e pousada anexa;BR-222, KM 218, Sobral - CE, 62103-000;(88) 99910-1097;Sobral;CE;-3.746, -40.312
Ponto de Apoio;Hotel Gatão - Sobral;Pousada na beira da BR-222 anexa ao posto, café da manhã e estacionamento pra caminhão;BR-222, KM 219, Sobral - CE, 62103-000;(88) 99216-4421;Sobral;CE;-3.747, -40.311
Ponto de Apoio;Posto Shell;Posto 24h com área de parada pra caminhoneiro na BR-222;BR 222 Faz Ipueiras Km 244, Sn Zona Rural, BR-222 - Gerardo Cristino, Sobral - CE, 62100-000;;Sobral;CE;-3.720, -40.331
Ponto de Apoio;Posto São Domingos Jaburuna;Posto 24h com conveniência e oficina, ponto de parada na BR-222;BR-222, 232 - Jaburuna, Sobral - CE, 62100-000;(88) 3611-4242;Sobral;CE;-3.710, -40.417
